FUT.AFF,,,,,,,,,
A/O,1SG,1PL,2SG,2PL,3SG,3PL,paradigm_tag,variants_tag,overabundance_tag
1SG,,,k ee j + n a + Σ + r a ŋ,k ee j + n a + Σ + u + r a ŋ,k ee j + Σ + r a ŋ,k ee j + Σ + u + r a ŋ,default,,
1SG,,,n a + Σ + k a + t i + ŋ,n a + Σ + u + k a + t i + ŋ,Σ + k a + t i + ŋ,Σ + u + k a + t i + ŋ,pragm_marked,,
1SG,,,,k ee j + n a + Σ + r a ŋ,,k ee j + Σ + r a ŋ,default,,optional_plural
1SG,,,,n a + Σ + k a + t i + ŋ,,Σ + k a + t i + ŋ,pragm_marked,,optional_plural
1PL,,,n ee j + n a + Σ + r a ŋ,n ee j + n a + Σ + u + r a ŋ,n ee j + Σ + r a ŋ,n ee j + Σ + u + r a ŋ,default,,
1PL,,,n a + Σ + i n + t i,n a + Σ + u + i n + t i,Σ + i n + t i,Σ + u + i n + t i,pragm_marked,,
1PL,,,,n ee j + n a + Σ + r a ŋ,,n ee j + Σ + r a ŋ,default,,optional_plural
1PL,,,,n a + Σ + i n + t i,,Σ + i n + t i,pragm_marked,,optional_plural
2SG,n ee j + n a + Σ + r a ŋ,n ee j + n a + Σ + u + r a ŋ,,,n ee j + Σ + r a ŋ,n ee j + Σ + r a ŋ,default,,
2SG,,,,,Σ + n a + t i,Σ + n a + t i,pragm_marked,,
2PL,n ee j + n a + Σ + r a ŋ,n ee j + n a + Σ + r a ŋ,,,n ee j + n a + Σ + r a ŋ,n ee j + Σ + r a ŋ,default,,optional_plural
2PL,n ee j + n a + Σ + u + r a ŋ,n ee j + n a + Σ + u + r a ŋ,,,n ee j + n a + Σ + u + r a ŋ,n ee j + Σ + u + r a ŋ,default,,
2PL,n a + Σ + n a + t i,n a + Σ + n a + t i,,,n a + Σ + n a + t i,Σ + n a + t i,pragm_marked,,optional_plural
2PL,n a + Σ + u + n a + t i,n a + Σ + u + n a + t i,,,n a + Σ + u + n a + t i,Σ + u + n a + t i,pragm_marked,,
3SG,ee j + n a + Σ + r a ŋ,ee j + n a + Σ + u + r a ŋ,ee j + n a + Σ + r a ŋ,ee j + n a + Σ + u + r a ŋ,ee j + Σ + r a ŋ,ee j + Σ + u + r a ŋ,default,,
3SG,n a + Σ + i n + t i,n a + Σ + u + i n + t i,n a + Σ + i n + t i,n a + Σ + u + i n + t i,Σ + i n + t i,Σ + u + i n + t i,pragm_marked,,
3SG,,,,ee j + n a + Σ + r a ŋ,,,default,,optional_plural
3SG,,,,n a + Σ + i n + t i,,Σ + i n + t i,pragm_marked,,optional_plural
3PL,ee j + n a + Σ + r a ŋ,ee j + n a + Σ + r a ŋ,ee j + n a + Σ + r a ŋ,ee j + n a + Σ + r a ŋ,ee j + Σ + r a ŋ,ee j + Σ + r a ŋ,default,,optional_plural
