form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong001,no_stem,1.sg,koi,koi,koi,k oi,k oi,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong002,no_stem,1.pl,koini,koini,koi+ni,k oi n i,k oi + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong003,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong004,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong005,no_stem,3.sg,ama,ama,ama,a m a,a m a,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong006,no_stem,3.pl,amani,amani,ama+ni,a m a n i,a m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong007,se,1.sg.fut.aff,kēise rang,kēiΣ rang,kēi+Σ+rang,k eei Σ r a ŋ,k eei + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong008,se,1.pl.fut.aff,nēise rang,nēiΣ rang,nēi+Σ+rang,n eei Σ r a ŋ,n eei + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong009,mu,1.sg.2.sg.fut.aff,namu kating,naΣ kating,na+Σ+ka+ti+ng,n a Σ k a t i ŋ,n a + Σ + k a + t i + ŋ,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong010,mu,1.sg.2.sg.fut.aff,kēinamu rang,kēinaΣ rang,kēi+na+Σ+rang,k eei n a Σ r a ŋ,k eei + n a + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong011,mu,1.sg.2.pl.fut.aff,namu u kating,naΣ u kating,na+Σ+u+ka+ti+ng,n a Σ u k a t i ŋ,n a + Σ + u + k a + t i + ŋ,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong012,mu,1.sg.2.pl.fut.aff,namu kating,naΣ kating,na+Σ+ka+ti+ng,n a Σ k a t i ŋ,n a + Σ + k a + t i + ŋ,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong013,mu,1.sg.2.pl.fut.aff,kēinamu u rang,kēinaΣ u rang,kēi+na+Σ+u+rang,k eei n a Σ u r a ŋ,k eei + n a + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong014,mu,1.sg.2.pl.fut.aff,kēinamu rang,kēinaΣ rang,kēi+na+Σ+rang,k eei n a Σ r a ŋ,k eei + n a + Σ + r a ŋ,rang_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong015,mu,1.pl.2.sg.fut.aff,namu inti,naΣ inti,na+Σ+in+ti,n a Σ i n t i,n a + Σ + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong016,mu,1.pl.2.sg.fut.aff,nanamu,nanaΣ,nēi+na+Σ+rang,n eei n a Σ r a ŋ,n eei + n a + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong017,mu,1.pl.2.pl.fut.aff,namu u inti,naΣ u inti,na+Σ+u+in+ti,n a Σ u i n t i,n a + Σ + u + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong018,mu,1.pl.2.pl.fut.aff,namu inti,naΣ inti,na+Σ+in+ti,n a Σ i n t i,n a + Σ + i n + t i,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong019,mu,1.pl.2.pl.fut.aff,nēinamu u rang,nēinaΣ u rang,nēi+na+Σ+u+rang,n eei n a Σ u r a ŋ,n eei + n a + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong020,mu,1.pl.2.pl.fut.aff,nēinamu rang,nēinaΣ rang,nēi+na+Σ+rang,n eei n a Σ r a ŋ,n eei + n a + Σ + r a ŋ,rang_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong021,mu,1.sg.3.sg.fut.aff,mu kating,Σ kating,Σ+ka+ti+ng,Σ k a t i ŋ,Σ + k a + t i + ŋ,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong022,mu,1.sg.3.sg.fut.aff,kēimu rang,kēiΣ rang,kēi+Σ+rang,k eei Σ r a ŋ,k eei + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong023,mu,1.sg.3.pl.fut.aff,mu u kating,Σ u kating,Σ+u+ka+ti+ng,Σ u k a t i ŋ,Σ + u + k a + t i + ŋ,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong024,mu,1.sg.3.pl.fut.aff,mu kating,Σ kating,Σ+ka+ti+ng,Σ k a t i ŋ,Σ + k a + t i + ŋ,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong025,mu,1.sg.3.pl.fut.aff,kēimu u rang,kēiΣ u rang,kēi+Σ+u+rang,k eei Σ u r a ŋ,k eei + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong026,mu,1.sg.3.pl.fut.aff,kēimu rang,kēiΣ rang,kēi+Σ+rang,k eei Σ r a ŋ,k eei + Σ + r a ŋ,rang_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong027,mu,1.pl.3.sg.fut.aff,mu inti,Σ inti,Σ+in+ti,Σ i n t i,Σ + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
